Time (s);Detected Note
1.0;F4
1.1;D4
1.2000000000000002;F#4
1.3;E4
1.4000000000000001;E4
1.5;F4
1.6;A4
1.7000000000000002;F#4
1.8;D4
1.9000000000000001;A4
2.0;A4
2.1;F4
2.2;G4
2.3000000000000003;A#3
2.4000000000000004;E4
2.5;A4
2.6;C#4
2.7;F#4
2.8000000000000003;F#4
2.9000000000000004;C4
3.0;A4
3.1;G#4
3.2;G#4
3.3000000000000003;G#4
3.4000000000000004;F4
3.5;C#4
3.6;F4
3.7;D#4
3.8000000000000003;D#4
3.9000000000000004;B3
4.0;B3
4.1000000000000005;B3
4.2;B3
4.3;B3
4.4;D4
4.5;E4
4.6000000000000005;C#4
4.7;C4
4.800000000000001;E4
4.9;E4
5.0;D4
5.1000000000000005;B3
5.2;F4
5.300000000000001;F4
5.4;F4
5.5;F4
5.6000000000000005;F4
5.7;F4
5.800000000000001;F4
5.9;A3
6.0;D#4
6.1000000000000005;E4
6.2;E4
6.300000000000001;B3
6.4;E4
6.5;A4
6.6000000000000005;A4
6.7;B3
6.800000000000001;B3
6.9;B3
7.0;G4
7.1000000000000005;E4
7.2;G4
7.300000000000001;G4
7.4;G4
7.5;G4
7.6000000000000005;G4
7.7;G4
7.800000000000001;G4
7.9;G4
8.0;G4
8.1;C4
8.200000000000001;A#3
8.3;A#3
8.4;B3
8.5;B3
8.6;C#4
8.700000000000001;C#4
8.8;A#3
8.9;B3
9.0;B3
9.1;A#3
9.200000000000001;C#4
9.3;C#4
9.4;D4
9.5;B3
9.600000000000001;B3
9.700000000000001;C4
9.8;C#4
9.9;D4
10.0;D4
10.100000000000001;D#4
10.200000000000001;E4
10.3;E4
10.4;G4
10.5;F#4
10.600000000000001;F#4
10.700000000000001;F#4
10.8;E4
10.9;C#4
11.0;D4
11.100000000000001;D4
11.200000000000001;C#4
11.3;B3
11.4;B3
11.5;B3
11.600000000000001;C#4
11.700000000000001;C#4
11.8;D4
11.9;B3
12.0;B3
12.100000000000001;B3
12.200000000000001;C#4
12.3;C#4
12.4;D4
12.5;D#4
12.600000000000001;E4
12.700000000000001;C4
12.8;C#4
12.9;C#4
13.0;D4
13.100000000000001;E4
13.200000000000001;E4
13.3;F#4
13.4;F#4
13.5;B3
13.600000000000001;F#4
13.700000000000001;G4
13.8;F#4
13.9;F4
14.0;F4
14.100000000000001;F4
14.200000000000001;F#4
14.3;E4
14.4;F4
14.5;A3
14.600000000000001;F#4
14.700000000000001;F#4
14.8;D4
14.9;D4
15.0;A3
15.100000000000001;A3
15.200000000000001;F#4
15.3;A#3
15.4;A3
15.5;A3
15.600000000000001;A3
15.700000000000001;A3
15.8;A3
15.9;A3
16.0;G#4
16.1;G#4
16.2;G#4
16.3;A4
16.400000000000002;G#4
16.5;A4
16.6;F#4
16.7;F#4
16.8;F4
16.900000000000002;F4
17.0;F#4
17.1;D4
17.2;D4
17.3;C#4
17.400000000000002;C#4
17.5;D4
17.6;D4
17.7;C#4
17.8;A#3
17.900000000000002;A#3
18.0;B3
18.1;B3
18.2;C#4
18.3;A#3
18.400000000000002;A#3
18.5;B3
18.6;B3
18.7;A#3
18.8;C#4
18.900000000000002;D4
19.0;D4
19.1;B3
19.200000000000003;B3
19.3;B3
19.400000000000002;C#4
19.5;C#4
19.6;D4
19.700000000000003;E4
19.8;E4
19.900000000000002;E4
20.0;G4
20.1;G4
20.200000000000003;F#4
20.3;E4
20.400000000000002;E4
20.5;D4
20.6;D4
20.700000000000003;C#4
20.8;C#4
20.900000000000002;B3
21.0;B3
21.1;B3
21.200000000000003;C#4
21.3;C#4
21.400000000000002;D4
21.5;D4
21.6;B3
21.700000000000003;B3
21.8;C#4
